cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,cve_geo,id_region,region,proyecto,fecha_aut,fecha_vig,vol_tot,unidades,tipo,material
31,Yucatán,079,Tekax,Tekax,31079,7,VII Sur ,N.C.P.E. SAN JUAN TEKAX,10/10/2017,31/12/2027,26238.54,m3,maderable,NA
31,Yucatán,079,Tekax,Tekax,31079,7,VII Sur ,San José,16/04/2018,31/12/2027,1388.96,m3,maderable,NA
31,Yucatán,069,Sotuta,Sotuta,31069,6,VI Oriente,San Antonio y Anexas,11/06/2018,31/12/2028,2475.6,m3,maderable,NA
31,Yucatán,079,Tekax,Tekax,31079,7,VII Sur ,EL PALOMO,19/02/2018,31/12/2027,2786.65,m3,maderable,NA
31,Yucatán,071,Sudzal,Sudzal,31071,3,III Centro ,P 19 Z-1P1/1,08/05/2018,31/12/2037,2560.75,m3,maderable,NA
31,Yucatán,008,Calotmul,Calotmul,31008,5,V Noreste ,Pocoboch No. 10,08/02/2019,01/01/2038,3128.74,m3,maderable,NA
31,Yucatán,066,Santa Elena,Santa Elena,31066,7,VII Sur ,TC 2490 Santa Elena,25/10/2019,31/12/2029,12726.77,m3,maderable,NA
31,Yucatán,079,Tekax,Tekax,31079,7,VII Sur ,P 30 Z-1P1/1,25/11/2020,31/12/2023,2009.05,m3,maderable,NA
31,Yucatán,033,Halacho,Halachó,31033,1,I Poniente ,CESAR AUGUSTO ARRIGUNAGA COELLO,28/06/2017 ,31/12/2021,38.864,ton,no maderable,Hoja huano
31,Yucatán,098,Tzucacab,Tzucacab,31098,7,VII Sur ,EJIDO TIGRE GRANDE,16/10/2017 ,31/12/2021,11.055,ton,no maderable,Sem granadillo
31,Yucatán,044,Kinchil,Kinchil,31044,1,I Poniente ,EJIDO KINCHIL,27/11/2017,31/12/2021,4444.003,ton,no maderable,Hoja huano
31,Yucatán,079,Tekax,Tekax,31079,7,VII Sur ,EJIDO MANUEL CEPEDA PERAZA,21/03/2018 ,31/12/2022,332.64,ton,no maderable,Hoja huano
31,Yucatán,044,Kinchil,Kinchil,31044,1,I Poniente ,EJIDO KINCHIL,04/04/2018 ,31/12/2022,384,kg,no maderable,Semilla huano
31,Yucatán,079,Tekax,Tekax,31079,7,VII Sur ,EUGENIA BEATRIZ EUAN CALDERON,29/11/2018 ,31/12/2023,38.864,ton,no maderable,Hoja huano
