cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,id_region,region,cve_geo,cve_local,nom_local,id_ue,nom_ue,razon_soc,cod_act,nom_act,num_per,lat,long,fecha
31,Yucatán       ,053,Muna,Muna,7,VII Sur ,31053,1,Muna,4572151,ACADEMIA DE BELLEZA LA ESMERALDA,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.48839779,-89.71511156,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7762175,ACADEMIA DE BELLEZA LUPITA MARGALLY,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.04475128,-89.64073277,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7934819,ACADEMIA DE BELLEZA MARIA ISABEL,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.96191057,-89.61893961,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4581553,ACADEMIA DE BELLEZA MARIBELLA,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.96684513,-89.63780803,2010-07
31,Yucatán       ,079,Tekax,Tekax,7,VII Sur ,31079,1,Tekax de alvaro Obregon,7145700,ACADEMIA DE BELLEZA MARTHA BELLEZA,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.20094714,-89.28285793,2019-11
31,Yucatán       ,038,Hunucma,Hunucma,1,I Poniente ,31038,1,Hunucma,4590017,ACADEMIA DE BELLEZA NEFERTITI,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,21.01720774,-89.8694756,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4539472,ACADEMIA DE CIENCIAS GAUSS,ACADEMIA DE CIENCIAS GAUSS AC,611691,Servicios de profesores particulares,6 a 10 personas,20.97746698,-89.60038859,2014-12
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4516804,ACADEMIA DE CORTE Y CONFECCION BELEN,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.94469403,-89.62622669,2010-07
31,Yucatán       ,101,Uman,Uman,2,II Noroeste ,31101,1,Uman,4585927,ACADEMIA DE CORTE Y CONFECCION MARY,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.88236362,-89.74639112,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4517506,ACADEMIA DE CORTE Y CONFECCION MODELINNI,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.94327778,-89.61248061,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4579505,ACADEMIA DE COSTURA Y BELLEZA DEL SURESTE,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.9655963,-89.62754467,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7301101,ACADEMIA DE DANCE TOURE,,611611,Escuelas de arte del sector privado,6 a 10 personas,21.00093141,-89.69290501,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,8647865,ACADEMIA DE DANZA,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.95973525,-89.5850776,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,8378372,ACADEMIA DE DANZA,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.95034054,-89.57260214,2019-11
31,Yucatán       ,096,Tizimin,Tizimin,5,V Noreste ,31096,1,Tizimin,7676134,ACADEMIA DE DANZA,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.14454564,-88.14600353,2019-11
31,Yucatán       ,089,Ticul,Ticul,7,VII Sur ,31089,1,Ticul,7033593,ACADEMIA DE DANZA,,611611,Escuelas de arte del sector privado,6 a 10 personas,20.40288568,-89.54447954,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7288262,ACADEMIA DE DANZA 440,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.02473949,-89.63362096,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4538126,ACADEMIA DE DANZA ADAGIO,,611611,Escuelas de arte del sector privado,6 a 10 personas,21.00636158,-89.57379176,2014-12
31,Yucatán       ,013,Conkal,Conkal,2,II Noroeste ,31013,1,Conkal,8377849,ACADEMIA DE DANZA ALOHA,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.07343307,-89.52117889,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4550394,ACADEMIA DE DANZA ANUENUE,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.92776695,-89.61774594,2014-12
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7006662,ACADEMIA DE DANZA ARJ,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.94480108,-89.60248858,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4496799,ACADEMIA DE DANZA AS DANCE,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.93725059,-89.59208794,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4588278,ACADEMIA DE DANZA ATTITUDE,,611611,Escuelas de arte del sector privado,6 a 10 personas,20.99149502,-89.576401,2014-12
31,Yucatán       ,084,Temax,Temax,4,IV Litoral centro ,31084,1,Temax,4491130,ACADEMIA DE DANZA CLADAYBE,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.14938102,-88.93866209,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4581400,ACADEMIA DE DANZA COPPELIA NO 50,,611611,Escuelas de arte del sector privado,6 a 10 personas,20.95491167,-89.63925825,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4532474,ACADEMIA DE DANZA CORPUS DANCE,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.97381173,-89.58735156,2014-12
31,Yucatán       ,056,Oxkutzcab,Oxkutzcab,7,VII Sur ,31056,1,Oxkutzcab,7145752,ACADEMIA DE DANZA D LALA,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.3001486,-89.41192722,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,8377529,ACADEMIA DE DANZA DANCER ELITE,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.94997197,-89.5735747,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4593491,ACADEMIA DE DANZA DANILOVA,,611611,Escuelas de arte del sector privado,6 a 10 personas,20.97398786,-89.58651767,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4591388,ACADEMIA DE DANZA DANSER,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.01398788,-89.56984974,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7301887,ACADEMIA DE DANZA DANSONIA BALLET,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.9929956,-89.6480213,2019-11
31,Yucatán       ,002,Acanceh,Acanceh,2,II Noroeste ,31002,1,Acanceh,7674996,ACADEMIA DE DANZA DANZARA,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.81445655,-89.45340499,2019-11
31,Yucatán       ,044,Kinchil,Kinchil,1,I Poniente ,31044,1,Kinchil,7990568,ACADEMIA DE DANZA DANZARINAS,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.91352774,-89.9498982,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,8013572,ACADEMIA DE DANZA DAR,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.03079454,-89.65248291,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4554793,ACADEMIA DE DANZA ELITE DANSE,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.9529856,-89.60124635,2014-12
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4523794,ACADEMIA DE DANZA ESXADARIA,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.97080054,-89.6739943,2014-12
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4588610,ACADEMIA DE DANZA FASHION DANCE,,611611,Escuelas de arte del sector privado,6 a 10 personas,20.98857453,-89.56537881,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,6965502,ACADEMIA DE DANZA FEMME,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.90389366,-89.6195083,2019-11
31,Yucatán       ,029,Dzilam Gonzalez,Dzilam Gonzalez,4,IV Litoral centro ,31029,1,Dzilam Gonzalez,4490450,ACADEMIA DE DANZA FOLKLORICA NUMERO 139 KOOX OCOT TU JA AL PACH MUUL,SECRETARiA DE EDUCACIoN PuBLICA ,611612,Escuelas de arte del sector publico,6 a 10 personas,21.27741128,-88.93279092,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,8363374,ACADEMIA DE DANZA FORTUER JAZZ,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.93018096,-89.61624432,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,8647717,ACADEMIA DE DANZA FREE DANCE,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.98387591,-89.67710069,2019-11
31,Yucatán       ,041,Kanasin,Kanasin,2,II Noroeste ,31041,1,Kanasin,7761727,ACADEMIA DE DANZA GLISSADE,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.94888774,-89.54758158,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7762063,ACADEMIA DE DANZA GOLIB BELLYDANCE,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.00501332,-89.64301487,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7991032,ACADEMIA DE DANZA JAZZIBE,HASSIBE SABIDO BUE ,611611,Escuelas de arte del sector privado,0 a 5 personas,20.99110462,-89.6952557,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4519630,ACADEMIA DE DANZA JOKALE,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.00637728,-89.65014786,2014-12
31,Yucatán       ,093,Tixkokob,Tixkokob,2,II Noroeste ,31093,1,Tixkokob,4531198,ACADEMIA DE DANZA KARLA,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.00181159,-89.38834989,2014-12
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4550983,ACADEMIA DE DANZA KIAHANNA DANCE,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.90485432,-89.62207051,2014-12
31,Yucatán       ,056,Oxkutzcab,Oxkutzcab,7,VII Sur ,31056,1,Oxkutzcab,7033057,ACADEMIA DE DANZA LUMA,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.30130872,-89.41931635,2019-11
