cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,cve_geo,id_region,region,cve_local,nom_local,id_ue,nom_ue,razon_soc,cod_act,nom_act,num_per,lat,long,fecha
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280089,COMBUSTIBLES DE YUCATAN SUCURSAL DONDE,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.99074016,-89.63847912,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280115,COMBUSTIBLES DE YUCATAN SUCURSAL JUAN PABLO II,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.96368205,-89.65023946,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280114,COMBUSTIBLES DE YUCATAN SUCURSAL JUAN PABLO II,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.03356999,-89.65567255,2014-12
31,Yucatán       ,041,Kanasin,Kanasín,31041,2,II Noroeste ,1,Kanasín,6280242,COMBUSTIBLES DE YUCATAN SUCURSAL KANASIN,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.93957803,-89.56732059,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280326,COMBUSTIBLES DE YUCATAN SUCURSAL MELCHOR OCAMPO,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.97058817,-89.56506245,2014-12
31,Yucatán       ,041,Kanasin,Kanasín,31041,2,II Noroeste ,1,Kanasín,6280443,COMBUSTIBLES DE YUCATAN SUCURSAL NOH PAT,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.95059362,-89.56062768,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280444,COMBUSTIBLES DE YUCATAN SUCURSAL PENSIONES,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.99804002,-89.66368775,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6280108,COMBUSTIBLES DE YUCATAN SUCURSAL TANLUM,COMBUSTIBLES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.99737324,-89.62869342,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8723803,COMBUSTIBLES DEL CARIBE,COMBUSTIBLES DEL CARIBE SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.03362091,-89.65565138,2019-11
31,Yucatán       ,061,Rio Lagartos,Río Lagartos,31061,5,V Noreste ,7402,Localidad Económica,4487680,COMBUSTIBLES DEL ORIENTE DE YUCATAN,COMBUSTIBLES DEL ORIENTE DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,21.58686222,-88.15603119,2010-07
